chinese|pinyin|spanish|category
好啊！我很想跟你一起练习。|Hǎo a! Wǒ hěn xiǎng gēn nǐ yìqǐ liànxí.|¡Claro! Me gustaría mucho practicar contigo.|Oral Exam Sentences
对不起，我现在没有时间。|Duìbuqǐ, wǒ xiànzài méiyǒu shíjiān.|Lo siento, ahora no tengo tiempo.|Oral Exam Sentences
明天我们可以一起练习。|Míngtiān wǒmen kěyǐ yìqǐ liànxí.|Mañana podemos practicar juntos.|Oral Exam Sentences
你们学校今天有活动吗？|Nǐmen xuéxiào jīntiān yǒu huódòng ma?|¿Hoy hay actividades en tu escuela?|Oral Exam Sentences
有，今天有中文比赛。|Yǒu, jīntiān yǒu Zhōngwén bǐsài.|Sí, hoy hay un concurso de chino.|Oral Exam Sentences
没有，今天没有活动。|Méiyǒu, jīntiān méiyǒu huódòng.|No, hoy no hay actividades.|Oral Exam Sentences
他们学校明天有活动。|Tāmen xuéxiào míngtiān yǒu huódòng.|En su escuela mañana hay actividades.|Oral Exam Sentences
活动几点开始？|Huódòng jǐ diǎn kāishǐ?|¿A qué hora empieza la actividad?|Oral Exam Sentences
活动下午四点开始。|Huódòng xiàwǔ sì diǎn kāishǐ.|La actividad empieza a las cuatro de la tarde.|Oral Exam Sentences
七点半开始。|Qī diǎn bàn kāishǐ.|Empieza a las siete y media.|Oral Exam Sentences
电影八点开始。|Diànyǐng bā diǎn kāishǐ.|La película empieza a las ocho.|Oral Exam Sentences
你们班一共有多少男生？|Nǐmen bān yīgòng yǒu duōshǎo nánshēng?|¿En total, cuántos chicos hay en tu clase?|Oral Exam Sentences
我们班一共有十个男生。|Wǒmen bān yīgòng yǒu shí gè nánshēng.|En nuestra clase hay diez chicos en total.|Oral Exam Sentences
有十五个男生。|Yǒu shíwǔ gè nánshēng.|Hay quince chicos.|Oral Exam Sentences
他们班女生多。|Tāmen bān nǚshēng duō.|En su clase hay muchas chicas.|Oral Exam Sentences
你们班一共有多少女生？|Nǐmen bān yīgòng yǒu duōshǎo nǚshēng?|¿En total, cuántas chicas hay en tu clase?|Oral Exam Sentences
我们班有十二个女生。|Wǒmen bān yǒu shí'èr gè nǚshēng.|En nuestra clase hay doce chicas.|Oral Exam Sentences
有二十个女生。|Yǒu èrshí gè nǚshēng.|Hay veinte chicas.|Oral Exam Sentences
我的班男生和女生一样多。|Wǒ de bān nánshēng hé nǚshēng yīyàng duō.|En mi clase hay tantos chicos como chicas.|Oral Exam Sentences
你有几个朋友？|Nǐ yǒu jǐ gè péngyou?|¿Cuántos amigos tienes?|Oral Exam Sentences
我有三个好朋友。|Wǒ yǒu sān gè hǎo péngyou.|Tengo tres buenos amigos.|Oral Exam Sentences
我有很多朋友。|Wǒ yǒu hěn duō péngyou.|Tengo muchos amigos.|Oral Exam Sentences
他在中国有朋友。|Tā zài Zhōngguó yǒu péngyou.|Él tiene amigos en China.|Oral Exam Sentences
你一共会说几门语言？|Nǐ yīgòng huì shuō jǐ mén yǔyán?|¿En total, cuántos idiomas sabes hablar?|Oral Exam Sentences
我会说两门语言。|Wǒ huì shuō liǎng mén yǔyán.|Sé hablar dos idiomas.|Oral Exam Sentences
我会说三门语言：汉语、英语和西班牙语。|Wǒ huì shuō sān mén yǔyán: Hànyǔ, Yīngyǔ hé Xībānyá yǔ.|Sé hablar tres idiomas: chino, inglés y español.|Oral Exam Sentences
他只会说一门语言。|Tā zhǐ huì shuō yì mén yǔyán.|Él solo sabe hablar un idioma.|Oral Exam Sentences
你喜欢看书吗？|Nǐ xǐhuan kàn shū ma?|¿Te gusta leer libros?|Oral Exam Sentences
我很喜欢看书。|Wǒ hěn xǐhuan kàn shū.|Me gusta mucho leer libros.|Oral Exam Sentences
我不太喜欢看书。|Wǒ bú tài xǐhuan kàn shū.|No me gusta mucho leer libros.|Oral Exam Sentences
她喜欢看杂志。|Tā xǐhuan kàn zázhì.|A ella le gusta leer revistas.|Oral Exam Sentences
你妹妹是阿根廷人吗？|Nǐ mèimei shì Āgēntíng rén ma?|¿Tu hermana menor es argentina?|Oral Exam Sentences
是的，她是阿根廷人。|Shì de, tā shì Āgēntíng rén.|Sí, ella es argentina.|Oral Exam Sentences
不是，她是智利人。|Búshì, tā shì Zhìlì rén.|No, ella es chilena.|Oral Exam Sentences
我是阿根廷人。|Wǒ shì Āgēntíng rén.|Yo soy argentino/a.|Oral Exam Sentences
你喜欢汉语课吗？|Nǐ xǐhuan Hànyǔ kè ma?|¿Te gusta la clase de chino?|Oral Exam Sentences
我非常喜欢汉语课。|Wǒ fēicháng xǐhuan Hànyǔ kè.|Me gusta muchísimo la clase de chino.|Oral Exam Sentences
喜欢，汉语课很有意思。|Xǐhuan, Hànyǔ kè hěn yǒuyìsi.|Sí, me gusta. La clase de chino es muy interesante.|Oral Exam Sentences
他觉得汉语课很难。|Tā juéde Hànyǔ kè hěn nán.|Él piensa que la clase de chino es muy difícil.|Oral Exam Sentences
